ID,District,Name,Address,Contact
88,CUDDALORE,"MAHATMA GANDHI MEDICAL COLLEGE,PONDICHERRY TN.",PONDY CUDDALORE MAIN ROAD PILLAIYARKUPPAM PUDUCHERRY,9442503636
89,CUDDALORE,"SRI VENKATESWARA MEDICAL COLLEGE, PONDICHERRY TN.","NO.13-A,PONDY - VILLUPURAM MAIN ROAD, ARIYUR,PUDUCHERRY",9943439428
90,CUDDALORE,"GOVT HOSPITAL KURINJIPADI, CUDDALORE TN.","S.K.S NAGAR, NEAR BUS STAND,KURINJIPADI",8870514257
91,CUDDALORE,"RAJAH MUTHIAH MED COLL AND HOSPITAL, CUDDALORE TN.","ANNAMALAI UNIVERSITY, ANNAMALAI NAGAR,CHIDAMBARAM",9842338163
92,CUDDALORE,"KRISHNA CANCER INSTITUTE,CUDDALORE,TN.","76/1, NELLIKUPPAM MAIN ROAD, NEAR THOTTAPATTU EB SUB STATION, THOTTAPATTU, CUDDALORE",9367612970
93,CUDDALORE,"PUDUCHERRY CANCER TRUST AND RESCTR,PONDICHERRY,TN.","M.A.SHANMUGAM, SENGENI AMMAL SQUARE, SOUTH RIVER BANK ROAD, CHUNNAMBAR, THAVALAKUPPAM, PUDUCHERRY.",9345456141
94,CUDDALORE,"GOVT. CHIDAMBARAM HOSPITAL, CUDDALORE TN.","SP KOIL STREET,CHIDAMBARAM(TK),CUDDALORE(DT).",9176555345
95,CUDDALORE,"PIMS, PONDICHERRY TN.","KALATHUMETTUPATHAI, GANAPATHICHETTIKULAM, VILLAGE NO.20, KALAPET, PUDUCHERRY",9443721391
96,CUDDALORE,"GOVT.HEAD QUARTERS HOSPITAL,CUDDALORE TN.","NELLIKUPPAM MAIN ROAD,CUDDALORE",9442971280
97,CUDDALORE,"GOVT HOSPITAL KATTUMANNARKUDI,CUDDALORE TN.","CHIDAMBARAM MAIN ROAD,UDAIYARKUDI,KATTUMANNARKOIL",9791181264
98,DHARMAPURI,"GOVT HOSPITAL HARUR,DHARMAPURI TN.","DHARMAPURI MAIN ROAD, HARUR (TK) DHARMAPURI (DT)",4346222800
99,DHARMAPURI,"GOVT. HEAD QUARTERS HOSPITAL,DHARMAPURI TN.","GOVT DIST HQRS HOSPITAL, PENNAGARAM DHARMAPURI DISTRICT",4342255674
100,DHARMAPURI,"KAMALAM HOSPITAL,DHARMAPURI TN.","248/53-M,NETHJI BYE PASS ROAD KAMALAM HOSPITAL",9865307744
101,DHARMAPURI,"GOVT HOSPITAL, PAPPIREDDIPATTI, DHARMAPURI TN.",PAPPIREDDIPATTI.PIN;636905,4346246222
102,DHARMAPURI,"GOVT HOSPITAL, PALACODE, DHARMAPURI TN.","GOVERNMENT HOSPITAL, BYE PASS ROAD, PALACODE",4348222025
103,DHARMAPURI,"GOVT. DHARMAPURI MEDICAL COLLEGE,DHARMAPURI TN.","NETHAJI BYE-PASS ROAD,",4342234833
104,DINDIGUL,"GOVT HOSPITAL, ATHOOR, DINDIGUL TN.","ATHOOR, DINDIGUL.",8825969611
105,DINDIGUL,"GOVT. HEAD QRTRS HOSP, PALANI, DINDIGUL TN.","DINDIGUL MAIN ROAD,NEAR BUS STAND, PALANI, DINDIGUL",9842146066
106,DINDIGUL,"GOVT HOSPITAL, BATLAGUNDU, DINDIGUL TN.","NEAR POLICE STATION, BATLAGUNDU, DINDIGUL.",9442361455
107,DINDIGUL,"GOVT HOSPITAL, VEDACHANDUR, DINDIGUL, TN.","VADAMADURAI ROAD, VEDASANDUR",9443060118
108,DINDIGUL,"GOVT HOSPITAL, KODAIKKANAL,DINDIGUL, TN.","P.T.ROAD, KODAIKANAL",9943842160
109,DINDIGUL,"GOVT HOSPITAL, NILAKOTTAI,DINDIGUL, TN.","DINDIGUL ROAD, THULLUPATTI, NILAKOTTAI",9443805219
110,DINDIGUL,"GOVT HOSPITAL, AYAKUDI, PALANI, DINDIGUL TN.","DINDIGUL MAIN ROAD, AYAKUDI, PALANI, DINDIGUL.",9443250974
